category,brand,platform,name,url,target_price,note,promo_name,promo_start,promo_end,require_final_price,enabled
水,海蓝之谜,淘宝,愈肤水200ml,https://detail.tmall.com/item.htm?from=cart&id=43935298255&mi_id=0000BDoYf5Ak2PwCeqg9VO1ia2vSHDhGhpXgQzwY2zInfcE&skuId=83429507541&spm=a1z0d.6639537%2F202410.item.d43935298255.2d897484O9MYA6&upStreamPrice=99000,980,,,,,False,True
水,fresh,淘宝,红茶水150ml,https://detail.tmall.com/item.htm?abbucket=17&id=719601215239&mi_id=0000KZaNAX5WECV90DN2r34nhrXpZ6B5Ck8Lzo3-e4Zb20I&ns=1&skuId=5012499500917&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22059f0878aaceba6b841f5c871b4b04bd%22%7D&xxc=taobaoSearch,830,,,,,False,True
水,珂润,淘宝,Ⅱ号水150ml,https://detail.tmall.com/item.htm?abbucket=17&id=527688610870&mi_id=0000cqB1CS61U4pKVQBJThS3XQGdkJhiafmEb2UlNM23NFQ&ns=1&priceTId=213e07c517823984259603679e11ec&skuId=5118400879978&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22ebdb0d52b83147dd45379b585ade79d0%22%7D&xxc=taobaoSearch,120,,,,,False,True
水,海蓝之谜,抖音,愈肤水,https://v.douyin.com/AU-fKpzK3v4/ ,980,,,,,False,True
水,fresh,抖音,红茶水,https://v.douyin.com/mbowrnZtG5Y/,830,,,,,False,True
水,珂润,抖音,Ⅱ号水,https://v.douyin.com/KGGZMIiBTWc/,120,,,,,False,True
精华,达尔肤,淘宝,杏仁酸,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1110466527%3AH%3Alfj2dwnMlb0e5EE%2B3KA0nDavFTaQYqZt%3Ab4c9f6a491a2558b377d93298cb31fd2&ali_trackid=318_b4c9f6a491a2558b377d93298cb31fd2&id=641534850615&mi_id=0000AJqP-ZcNTBfw_fYseKbOFwLP_Z0_Vj9SzYJ96OYKnWk&mm_sceneid=0_0_109456235_0&priceTId=213e07c517823987275771410e11ec&skuId=5910473701110&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22f732b3067c3745b7d6eeab7479a8ca1a%22%7D&xxc=ad_ztc,200,,,,,False,True
精华,珀莱雅,淘宝,红宝石,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1102782545%3AH%3AfK5ZXBUVS63WaMB6TLVYbQ%3D%3D%3A469c82520398c89cceb78694aebfea74&ali_trackid=282_469c82520398c89cceb78694aebfea74&id=630980256640&mi_id=0000qJiW9WEA_dhdrB5oxKx9Glp0ts7Yd9xRN7PqizZW-54&mm_sceneid=1_0_15667065_0&priceTId=213e07c517823987741855052e11ec&skuId=6233627546452&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22ed2e3ab4b3a33920490046f614ccacdf%22%7D&xxc=ad_ztc,420,,,,,False,True
精华,OLAY,抖音,小白瓶美白精华,https://v.douyin.com/jjAA2qX-6hA/ ,190,,,,,False,True
精华,达尔肤,抖音,杏仁酸,https://v.douyin.com/zt7dSjQMN1A/,200,,,,,False,True
精华,珀莱雅,抖音,红宝石,https://v.douyin.com/tiBRdZ51dU8/,420,,,,,False,True
眼霜,资生堂,淘宝,小针管,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1109832898%3AN%3AYwqG4WHeJmHwHsWKXBVpqkOleU11bPqe%3A8dd0dcab6e7f277f6d160f589bf6bffa&ali_trackid=1_8dd0dcab6e7f277f6d160f589bf6bffa&id=638745695165&mi_id=0000SzSKgsWo68g0TAWZzGyrNPz-ki0xIu6Xyzm0tRrpBnI&mm_sceneid=1_0_98472965_0&priceTId=213e07c517823988288601099e11ec&skuId=5305102356488&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%225c1192d07d83fd817b529c35128ce482%22%7D&xxc=ad_ztc,520,,,,,False,True
眼霜,雅诗兰黛,淘宝,15ml眼霜,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1109248652%3AH%3AdzL%2BJRtZNFWTkSKFTxFboBL1yLny3fgi%3A76bc8e97a3751ab5ba9a13d426d61471&ali_trackid=294_76bc8e97a3751ab5ba9a13d426d61471&id=39488472991&mi_id=0000yYbeO7NsVwtYcnYyNeOQ7enQdyO_o6OBJGORETV-qtw&mm_sceneid=2_0_55577118_0&priceTId=215044f717823990383482312e10ec&skuId=53414662968&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%228860e71a06e1661cd62a57ac313a1ccf%22%7D&xxc=ad_ztc,560,,,,,False,True
眼霜,cpb眼霜,淘宝,15ml ,https://detail.tmall.com/item.htm?abbucket=17&id=598996170757&mi_id=000029z_ujCZF0pBL0OLvirc1l8shLMoVtWUW-pfu4pBUmQ&ns=1&priceTId=215044f717823990995557160e10ec&skuId=4174352040183&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2270cfd95084785d2bc2eccf58938525b0%22%7D&xxc=taobaoSearch,1980,,,,,False,True
眼霜,雅诗兰黛,抖音,15ml眼霜,https://v.douyin.com/egWKoz9vTX4/ ,560,,,,,False,True
眼霜,cpb眼霜,抖音,15ml ,https://v.douyin.com/7P3ZqhLF4_c/,1980,,,,,False,True
面霜,科颜氏,抖音,高保湿面霜,https://v.douyin.com/TX6q2aaWFSo/ ,298,,,,,False,True
面霜,珂润,抖音,40g面霜,https://v.douyin.com/XWGnCD8v4pg/,130,,,,,False,True
面霜,Torriden ,抖音,100ml面霜,https://v.douyin.com/bAHIWXilsfw/ ,112,,,,,False,True
面霜,科颜氏,淘宝,高保湿面霜,"https://detail.tmall.com/i
tem.htm?ali_refid=a3_430582_1006%3A1125371784%3AN%3AUX0MCFMFHlGdLNZq%2BK8hkxkANk7vl
4n0%3A4fa96a5297b37c13496142597588d77c&ali_trackid=199_4fa96a5297b37c13496142597588d77c&id=545378712840&mi_id=0000JLVPiR6mtLbYpICW2-GVLCwSNkqPc-sq8N2MCz-mceo&mm_sceneid=5_1_121815592_0&priceTId=215044f717823991669923937e10ec&skuId=5280672234530&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22a99d9c213af708379ef07d5e37acad33%22%7D&xxc=ad_ztc",298,,,,,False,True
面霜,珂润,淘宝,41g面霜,https://detail.tmall.com/item.htm?abbucket=17&id=619832612972&mi_id=0000pnSuf3PVQzE02zXSvL50efUJDP-h4PadX0V3yf6bO-M&ns=1&priceTId=215044f717823993345727054e10ec&skuId=5267192682629&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22fa4436fa12c0a17e00c61c18929e11b0%22%7D&xxc=taobaoSearch,130,,,,,False,True
面霜,Torriden ,淘宝,101ml面霜,https://detail.tmall.hk/hk/item.htm?abbucket=17&id=669731536039&mi_id=0000hQyBpAN-CHqFLgyodYApQ4vq39KhDmKJm36uDl2NRG8&ns=1&priceTId=215044f717823993989773212e10ec&skuId=6135815175744&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22ab94e83426bbc59c138401a9b0f96537%22%7D&xxc=taobaoSearch,112,,,,,False,True
